2024/2025 Semester 1 Final Teaching Timetable,,,,,
,,,,,
BIUST - AUDITORIUM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,MATH 101 Lecture ENGINEERING,MATH 101 LECTURE SCIENCE,CHEM 101 LECTURE ENGINEERING,CETG 111 LECTURE,
0900-0950,MATH 101 Lecture ENGINEERING,MATH 101 LECTURE SCIENCE,CHEM 101 LECTURE ENGINEERING,CETG 111 LECTURE,CHEM 101 Lecture ENGINEERING
1000-1050,CHEM 205 Lecture,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,MMEE 210 LECTURE
1100-1150,BIOL 101 LECTURE,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,MMEE 210 LECTURE
1200-1250,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1300-1350,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1400-1450,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,PHYS 101 Lecture ENGINEERING,EMTH 301 LECTURE
1500-1550,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,BIOL 101 LECTURE,
1600-1650,COMP 211 LECTURE,BIOL 101 TUTORIAL EARTH,MECE 211 LECTURE,CHEM 101 Lecture SCIENCE,EMTH 201 Lecture
1700-1750,COMP 211 LECTURE,EMTH 301 LECTURE,MECE 211 LECTURE,EMTH 301 LECTURE,PHYS 101 Lecture SCIENCE
1800-1850,,,,,
1900-1950,,,,,
BIUST - PHYSICS SEMINAR ROOM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,MATH 101 Lecture ENGINEERING,MATH 101 LECTURE SCIENCE,CHEM 101 LECTURE ENGINEERING,CETG 111 LECTURE,STAT 601 TUT
0900-0950,MATH 101 Lecture ENGINEERING,MATH 101 LECTURE SCIENCE,CHEM 101 LECTURE ENGINEERING,CETG 111 LECTURE,CHEM 101 Lecture ENGINEERING
1000-1050,MATH 411 Lecture,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,STAT 613 LECTURE
1100-1150,BIOL 101 LECTURE,PHYS 101 LECTURE ENGINEERING,MATH 101 LECTURE ENGINEERING,MATH 101 Lecture SCIENCE,STAT 613 LECTURE
1200-1250,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1300-1350,EEEN 211 LECTURE,COMP 101 ENGINEERING,PHYS 101 LECTURE SCIENCE,EEEN 211 LECTURE,GEOL 201 LECTURE
1400-1450,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,FRSC 401 LECTURE,EMTH 301 LECTURE
1500-1550,CHEM 101 LECTURE SCIENCE,EMTH 201 LECTURE,COMP 101 SCIENCE,BIOL 101 LECTURE,
1600-1650,COMP 211 LECTURE,BIOL 101 TUTORIAL PA CHEM,MECE 211 LECTURE,CHEM 101 Lecture SCIENCE,EMTH 201 Lecture
1700-1750,COMP 211 LECTURE,EMTH 301 LECTURE,MECE 211 LECTURE,EMTH 301 LECTURE,PHYS 101 Lecture SCIENCE
1800-1850,,,,,
1900-1950,,,,,
BIUST - BIOLOGY SEMINAR ROOM,,,,,
2024/2025 Semester 1 Final Teaching Timetable,,,,,
,Monday,Tuesday,Wednesday,Thursday,Friday
0800-0850,MMEE 522 LECTURE,MMEE 210 TUT MINING,GEOL 601 LECTURE,CIVE 517 TUTORIAL,
0900-0950,MMEE 522 LECTURE,STAT 304 Lecture,,MATH 101 TUT FORENSIC,COMP 231 LECTURE
1000-1050,ALSS 201 Lecture Group F,CHEM 306 TUT,ALSS 201 Tutorial Group F,INFS 222 LECTURE,COMP 231 LECTURE
1100-1150,GEME 512 TUTORIAL,FRSC 403 LECTURE,MATH 401 LECTURE,INFS 222 LECTURE,ALSS 101 Lecture Group E
1200-1250,GEOL 613 LECTURE,MATH 405 LECTURE,PHYS 301 LECTURE,STAT 601 LECTURE,BIOL 313 LECTURE
1300-1350,BIOL 402 Tutorial,ENVS 6102 LECTURE,PHYS 301 LECTURE,PHYS 301 Lecture,BIOL 313 LECTURE
1400-1450,COMP 201 LECTURE,ENVS 6102 LECTURE,,CMME 511 LECTURE,MMEE 415 TUT
